Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg
09/04/2021,24.2,32.8,28.5,81,7.5,8.8,7,330,2
10/04/2021,25.4,31.2,28.3,76,0,9,5,350,2
11/04/2021,24.6,32.4,28.8,72,,7,5,350,3
12/04/2021,23.9,31.4,27.6,82,21,6.2,4,30,2
13/04/2021,25.4,31.2,27.9,79,2,7,5,340,2
14/04/2021,25.2,31.2,27.3,85,0,9.5,5,30,2
15/04/2021,25.2,32.4,28.2,76,2.3,6.4,4,360,1
16/04/2021,26,32.2,28.7,72,,8,5,20,2
17/04/2021,25.3,33.8,28.7,73,,7.8,5,330,2
18/04/2021,25.8,31.8,28.7,78,2,9.8,4,330,2
19/04/2021,24.8,33.6,28.2,78,14,9.8,6,10,2
20/04/2021,25,32.5,28.5,75,12.8,9.4,4,40,2
21/04/2021,23.6,34.4,28.1,66,,10.3,4,150,2
22/04/2021,24,33.6,28.6,66,0,10,5,70,2
23/04/2021,25.1,32.2,28.6,72,,10.8,4,350,2
24/04/2021,25,33.4,28.7,70,,10.4,6,110,3
25/04/2021,24.6,32.6,28.1,76,30.5,5.5,5,60,2
26/04/2021,25,33.8,29.8,68,0,5,6,130,3
27/04/2021,26.2,33.8,28.7,77,,10.4,5,90,2
28/04/2021,26,30.6,28.3,74,6.4,7.6,4,20,1
29/04/2021,25.2,33,28.2,74,0,0.3,5,20,2
30/04/2021,25.5,35,29.2,72,0,10.3,5,360,2
01/05/2021,26.5,33.8,29.6,70,,7.5,5,130,3
02/05/2021,27,33.8,29.9,69,0,9.8,6,20,3
03/05/2021,,33.4,29.9,66,0,9.8,5,100,2
04/05/2021,26.6,33.4,29.9,68,0,9.6,5,230,2
05/05/2021,26.8,33.2,28.5,75,2.2,10.2,5,120,2
06/05/2021,25.6,33.2,28.3,77,18.9,6,5,20,2
07/05/2021,25.4,31.2,28.3,78,0,8.5,4,330,2
08/05/2021,26,31.2,27.9,80,0,2.6,3,20,1
09/05/2021,23.8,33.8,28.4,68,,0.6,6,90,2
10/05/2021,24.6,34,29.4,64,0,10.5,6,90,2
11/05/2021,25.4,34.4,31,66,0,10.9,7,110,3
12/05/2021,26.1,33.8,29.8,72,3.6,10.6,7,100,3
13/05/2021,24.8,33.8,28.5,74,,9.5,6,130,3
14/05/2021,26.2,34,29.8,67,0,6.5,5,100,2
15/05/2021,26,33.8,28.5,75,0,9.8,5,40,2
16/05/2021,25.8,34,29.5,72,,8.1,5,10,3
17/05/2021,25.6,33.4,29,73,,10.5,5,30,3
18/05/2021,24.9,32.2,28.3,76,78,9.8,4,330,2
19/05/2021,25,32.4,28.2,76,,4.6,4,100,2
20/05/2021,25.2,32.6,27.3,82,4.6,1.8,5,100,2
21/05/2021,23.8,33.4,28.4,79,37.8,6.3,4,80,1
22/05/2021,25.9,33.4,28.7,76,,9.1,6,40,2
23/05/2021,25.8,31.6,28.2,78,1.7,7.3,3,20,2
24/05/2021,26,33.3,28.8,78,,7.5,5,30,3
25/05/2021,25.5,32.4,28.2,72,,8,4,110,2
26/05/2021,26,,29.4,73,0,4,6,110,3
27/05/2021,27.2,33.8,30,70,,9.1,5,130,3
28/05/2021,27.8,33.8,30.3,67,0,10.9,6,110,3
29/05/2021,27,33.6,28.3,77,,9.3,8,330,2
30/05/2021,24.4,32.6,28,81,37.4,7,5,350,2
31/05/2021,25,32.8,29.2,75,1,8.5,4,10,1
01/06/2021,25.6,32.2,28.4,78,0,9.4,4,10,2
02/06/2021,25.8,32.6,28.7,80,2.5,8.8,4,120,2
03/06/2021,26.4,33.2,29.8,74,0.8,8,5,130,3
04/06/2021,27.2,34.6,29.8,71,0,8.5,5,130,3
05/06/2021,27,33.8,29.8,71,,9.8,5,340,2
06/06/2021,26.8,33.2,29.3,70,0,10.1,6,20,2
07/06/2021,25.5,32.4,28.6,77,0,9.4,4,10,2
08/06/2021,25.6,33.6,28.7,74,0.5,9.5,4,10,2
09/06/2021,25.6,33.3,28.6,76,0,10,4,40,2
10/06/2021,25,33.2,29,75,5.6,7,4,100,2
11/06/2021,25,33.3,28.4,77,22.8,8.7,5,70,2
12/06/2021,25.8,33,28.6,74,,9.5,6,130,3
13/06/2021,27,33,29.9,64,,8.8,8,140,3
14/06/2021,25.8,32.4,28.4,72,,9.4,4,150,2
15/06/2021,26.3,32.5,28.6,76,0.2,3.8,6,30,2
16/06/2021,25.4,32.8,28.1,76,,3.9,6,340,3
17/06/2021,25.2,29.4,26.6,83,0.3,7.3,4,350,1
18/06/2021,24,32.2,27.7,76,,2,5,10,2
19/06/2021,25.2,30,26.4,88,1.1,9.3,5,330,2
20/06/2021,23.8,32,27,80,5.8,0.6,5,330,2
21/06/2021,22.2,,26.3,83,21.2,8,4,10,2
22/06/2021,24,32.4,27.4,78,1.1,8,4,120,2
23/06/2021,24.4,32.3,27.7,78,6,6.5,6,80,2
24/06/2021,24.4,28,26.6,80,5.5,3.8,6,360,2
25/06/2021,23.4,32,27.6,76,42.5,0.6,4,120,2
26/06/2021,23.9,32.7,28.9,74,,7.1,4,130,2
27/06/2021,,33.2,28.8,76,,6.9,4,130,2
28/06/2021,24.9,31.4,26.4,84,,10.8,5,340,2
29/06/2021,24,33,28.4,71,37,2,5,100,2
30/06/2021,24.4,33.2,28.4,75,0,8.5,3,120,2
01/07/2021,25.4,33,28.3,73,,8.2,5,10,2
